order_no,order_date,customer name,address,city,state,customer_type,account_id,order_priority,product_id,product_container,ship_mode,ship_date,cost_price,retail_price,order_quantity,sub_total,discount_%,discount_$,order_total,shipping_cost,total
5043-1,3/23/2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,12,High,20,Wrap Bag,Regular Air,3/26/2013,1.82,2.98,22,65.56,0.04,2.62,65.52,1.58,67.1
5045-1,3/26/2013,Mick Brown,"523 King St,Newtown",Sydney,NSW,Consumer,7,Not Specified,21,Small Box,Regular Air,3/28/2013,81.59,159.99,30,4799.7,0.01,48,4799.69,5.5,4805.19
5047-1,3/27/2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Home Office,2,Low,11,Small Box,Regular Air,4/3/2013,5.33,8.6,37,318.2,0.04,12.73,318.16,6.19,324.35
5048-1,3/27/2013,Erica Smith,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,1,Medium,22,Small Box,Regular Air,3/27/2013,3.52,5.68,24,136.32,0.06,8.18,136.26,1.39,137.65
5049-1,3/30/2013,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,12,Not Specified,23,Small Pack,Regular Air,3/31/2013,0.94,2.08,4,8.32,0.02,0.17,8.3,2.56,10.86
5050-1,4/19/2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,8,Not Specified,11,Small Box,Regular Air,4/20/2013,5.33,8.6,36,309.6,0.06,18.58,309.54,6.19,315.73
5052-1,4/20/2013,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,8,Not Specified,24,Wrap Bag,Regular Air,4/22/2013,2.52,4,31,124,0.01,1.24,123.99,1.3,125.29
5053-1,4/26/2013,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,3,Critical,25,Medium Box,Regular Air,4/26/2013,8.82,20.99,19,398.81,0.01,3.99,398.8,4.81,403.61
5055-1,4/27/2013,Noah Childs,"78 Stanley St,Darlinghurst",Sydney,NSW,Home Office,4,High,26,Small Box,Express Air,4/28/2013,7.61,12.28,29,356.12,0,0,356.12,6.35,362.47
5057-1,4/28/2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,8,Medium,27,Small Box,Regular Air,4/30/2013,1.59,2.61,9,23.49,0.06,1.41,23.43,0.5,23.93
5059-1,4/28/2013,Barry Weirich,"105 Pitt St,Sydney",Sydney,NSW,Corporate,10,Medium,28,Small Box,Regular Air,4/28/2013,6.39,19.98,7,139.86,0.01,1.4,139.85,4,143.85
5060-1,4/30/2013,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,9,Medium,29,Small Box,Express Air,5/1/2013,32.02,152.48,16,2439.68,0.1,243.97,2439.58,4,2443.58
5061-1,4/30/2013,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,3,Not Specified,26,Small Box,Regular Air,5/2/2013,7.61,12.28,27,331.56,0.03,9.95,331.53,6.35,337.88
5062-1,4/30/2013,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,5,Not Specified,30,Small Box,Regular Air,5/2/2013,10.07,15.98,39,623.22,0.09,56.09,623.13,4,627.13
5063-1,5/1/2013,William Brown,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,9,Not Specified,31,Small Pack,Regular Air,5/3/2013,4.79,11.97,7,83.79,0.05,4.19,83.74,5.81,89.55
5064-1,5/2/2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,9,Not Specified,32,Small Box,Regular Air,5/3/2013,8.71,14.28,42,599.76,0.1,59.98,599.66,2.99,602.65
5066-1,5/2/2013,Troy Staebel,"1-2/299 Sussex St,Sydney",Sydney,NSW,Small Business,7,Critical,10,Small Box,Regular Air,5/3/2013,54.29,90.48,15,1357.2,0.05,67.86,1357.15,19.99,1377.14
5068-1,5/3/2013,Dario Medina,"60 York St,Sydney",Sydney,NSW,Small Business,10,Critical,22,Small Box,Regular Air,5/5/2013,3.52,5.68,20,113.6,0.07,7.95,113.53,1.39,114.92
5070-1,5/4/2013,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,2,Critical,33,Wrap Bag,Regular Air,5/6/2013,3.47,6.68,41,273.88,0.08,21.91,273.8,1.5,275.3
5071-1,5/5/2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,1,Medium,34,Small Pack,Regular Air,5/6/2013,1.87,8.12,41,332.92,0.06,19.98,332.86,2.83,335.69
5071-2,5/5/2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,1,Medium,33,Wrap Bag,Regular Air,5/6/2013,3.47,6.68,2,13.36,0.01,0.13,13.35,1.5,14.85
5075-1,5/5/2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,9,Low,30,Small Box,Regular Air,5/10/2013,10.07,15.98,34,543.32,0.1,54.33,543.22,4,547.22
5077-1,5/7/2013,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Small Business,7,Not Specified,31,Small Pack,Regular Air,5/9/2013,4.79,11.97,18,215.46,0.08,17.24,215.38,5.81,221.19
5079-1,5/9/2013,Liz Pelletier,"79 Elliott St,Balmain",Sydney,NSW,Home Office,7,Critical,25,Medium Box,Express Air,5/10/2013,8.82,20.99,8,167.92,0.09,15.11,167.83,4.81,172.64
5081-1,5/9/2013,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,8,Critical,9,Wrap Bag,Regular Air,5/11/2013,1.09,1.68,18,30.24,0.06,1.81,30.18,1,31.18
5083-1,5/10/2013,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,3,Not Specified,35,Small Box,Regular Air,5/11/2013,54.52,100.97,15,1514.55,0.1,151.46,1514.45,7.18,1521.63
5084-1,5/13/2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,8,Medium,24,Wrap Bag,Express Air,5/15/2013,2.52,4,19,76,0.09,6.84,75.91,1.3,77.21
5086-1,5/14/2013,Eudokia Martin,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,8,High,36,Small Box,Regular Air,5/15/2013,13.88,22.38,26,581.88,0.1,58.19,581.78,15.1,596.88
5087-1,5/14/2013,Scot Wooten,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,6,Not Specified,37,Wrap Bag,Regular Air,5/16/2013,21.56,36.55,45,1644.75,0.1,164.48,1644.65,13.89,1658.54
5089-1,5/15/2013,Jenna Caffey,"470 Anzac Parade,Kingsford",Sydney,NSW,Consumer,1,High,38,Small Box,Express Air,5/16/2013,19.78,45.99,14,643.86,0.02,12.88,643.84,4.99,648.83
5090-1,5/18/2013,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,6,Not Specified,10,Small Box,Regular Air,5/20/2013,54.29,90.48,11,995.28,0.04,39.81,995.24,19.99,1015.23
5091-1,5/19/2013,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,1,High,39,Medium Box,Regular Air,5/20/2013,9.91,15.99,7,111.93,0.03,3.36,111.9,11.28,123.18
5093-1,5/19/2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,9,Not Specified,40,Wrap Bag,Regular Air,5/20/2013,3.75,7.08,29,205.32,0.04,8.21,205.28,2.35,207.63
5095-1,5/20/2013,Roy Skaria,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,2,High,19,Small Pack,Regular Air,5/21/2013,5.5,12.22,35,427.7,0,0,427.7,2.85,430.55
5097-1,5/20/2013,Brad Eason,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,12,Not Specified,41,Small Box,Regular Air,5/22/2013,13.64,20.98,47,986.06,0.1,98.61,985.96,1.49,987.45
5099-1,5/21/2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,9,High,16,Small Pack,Regular Air,5/21/2013,3.42,8.34,24,200.16,0.1,20.02,200.06,2.64,202.7
5101-1,5/22/2013,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,1,Critical,17,Small Box,Express Air,5/23/2013,4.59,7.28,2,14.56,0.08,1.16,14.48,11.15,25.63
5103-1,5/22/2013,Andy Reiter,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Corporate,9,Critical,42,Small Box,Regular Air,5/24/2013,1.18,1.88,1,1.88,0.05,0.09,1.83,1.49,3.32
5104-1,5/23/2013,Becky Martin,"53-55 Liverpool Street,Sydney",Sydney,NSW,Home Office,1,Medium,43,Small Box,Express Air,5/25/2013,6.4,29.1,33,960.3,0.01,9.6,960.29,4,964.29
5106-1,5/26/2013,Denny Ordway,"523 King St,Newtown",Sydney,NSW,Small Business,7,Critical,44,Small Box,Regular Air,5/26/2013,3.84,6.3,42,264.6,0.07,18.52,264.53,0.5,265.03
5108-1,5/27/2013,Luke Schmidt,"73 York St,Sydney",Sydney,NSW,Home Office,1,Medium,45,Small Box,Regular Air,5/28/2013,156.5,300.97,14,4213.58,0.1,421.36,4213.48,7.18,4220.66
5109-1,5/28/2013,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,7,Low,46,Wrap Bag,Regular Air,6/1/2013,2.29,3.58,38,136.04,0.06,8.16,135.98,1.63,137.61
5111-1,5/29/2013,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,3,High,47,Small Box,Express Air,5/29/2013,2.25,3.69,35,129.15,0.03,3.87,129.12,2.5,131.62
5112-1,5/29/2013,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,3,Medium,48,Small Box,Express Air,5/29/2013,12.39,19.98,13,259.74,0.1,25.97,259.64,5.77,265.41
5113-1,5/31/2013,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,12,Medium,49,Small Box,Regular Air,5/31/2013,8.92,29.74,14,416.36,0.02,8.33,416.34,6.64,422.98
5114-1,5/31/2013,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,1,Not Specified,50,Small Box,Regular Air,6/2/2013,60.59,100.98,33,3332.34,0.05,166.62,3332.29,7.18,3339.47
5115-1,5/31/2013,Joy Smith,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,9,Low,51,Wrap Bag,Regular Air,6/4/2013,3.48,5.43,29,157.47,0.07,11.02,157.4,0.95,158.35
5117-1,6/2/2013,Jim Epp,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,12,Low,52,Small Pack,Regular Air,6/4/2013,20.18,35.41,38,1345.58,0.03,40.37,1345.55,1.99,1347.54
5119-1,6/4/2013,Mike Vittorini,"211/25-29 Dixon St,Haymarket",Sydney,NSW,Small Business,14,Not Specified,53,Wrap Bag,Regular Air,6/6/2013,1.76,3.38,34,114.92,0.07,8.04,114.85,0.85,115.7
5120-1,6/5/2013,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,1,Critical,14,Small Box,Express Air,6/7/2013,36.02,58.1,10,581,0.09,52.29,580.91,1.49,582.4
5122-1,6/5/2013,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Corporate,2,Low,45,Small Box,Regular Air,6/5/2013,156.5,300.97,38,11436.86,0.09,1029.32,11436.77,7.18,11443.95
5124-1,6/6/2013,Erica Hernandez,"12 Princess Hwy,Sylvania",Sydney,NSW,Small Business,12,Medium,16,Small Pack,Regular Air,6/8/2013,3.42,8.34,30,250.2,0.02,5,250.18,2.64,252.82
5125-1,6/7/2013,Janet Martin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,13,Not Specified,50,Small Box,Regular Air,6/8/2013,60.59,100.98,29,2928.42,0.03,87.85,2928.39,7.18,2935.57
5127-1,6/9/2013,Beth Thompson,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,3,Not Specified,54,Small Box,Regular Air,6/9/2013,178.83,415.88,2,831.76,0.07,58.22,831.69,11.37,843.06
5128-1,6/10/2013,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,3,Medium,24,Wrap Bag,Regular Air,6/12/2013,2.52,4,39,156,0.08,12.48,155.92,1.3,157.22
5129-1,6/11/2013,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Consumer,3,Low,55,Small Box,Regular Air,6/13/2013,19.83,30.98,49,1518.02,0.09,136.62,1517.93,19.51,1537.44
5131-1,6/15/2013,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Small Business,5,Medium,45,Small Box,Regular Air,6/17/2013,156.5,300.97,5,1504.85,0.07,105.34,1504.78,7.18,1511.96
5133-1,6/15/2013,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,8,High,56,Wrap Bag,Express Air,6/17/2013,2.9,4.76,27,128.52,0.07,9,128.45,0.88,129.33
5134-1,6/16/2013,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,8,Low,45,Small Box,Regular Air,6/16/2013,156.5,300.97,1,300.97,0.06,18.06,300.91,7.18,308.09
5135-1,6/20/2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,12,Medium,46,Wrap Bag,Regular Air,6/21/2013,2.29,3.58,10,35.8,0.05,1.79,35.75,1.63,37.38
5137-1,6/21/2013,Carlos Meador,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,1,Medium,8,Small Box,Regular Air,6/22/2013,99.39,162.93,7,1140.51,0.03,34.22,1140.48,19.99,1160.47
5138-1,6/21/2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Small Business,8,High,57,Wrap Bag,Express Air,6/23/2013,1.6,2.62,34,89.08,0.08,7.13,89,0.8,89.8
5140-1,6/24/2013,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,5,High,58,Small Box,Regular Air,6/25/2013,3.4,5.4,25,135,0.09,12.15,134.91,7.78,142.69
5142-1,6/25/2013,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,1,High,59,Wrap Bag,Regular Air,6/26/2013,11.11,19.84,26,515.84,0.07,36.11,515.77,4.1,519.87
5144-1,6/26/2013,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,6,Critical,20,Wrap Bag,Regular Air,6/27/2013,1.82,2.98,3,8.94,0.09,0.8,8.85,1.58,10.43
5145-1,6/29/2013,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,4,Low,60,Wrap Bag,Express Air,7/4/2013,3.32,5.18,1,5.18,0.02,0.1,5.16,2.04,7.2
5145-2,6/29/2013,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,4,Low,61,Wrap Bag,Regular Air,7/3/2013,2.98,5.84,4,23.36,0.09,2.1,23.27,0.83,24.1
5148-1,6/29/2013,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,9,Medium,62,Small Box,Regular Air,7/1/2013,1.33,2.08,44,91.52,0.04,3.66,91.48,1.49,92.97
5150-1,6/29/2013,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Small Business,5,Not Specified,63,Medium Box,Regular Air,7/1/2013,7.92,12.99,49,636.51,0.07,44.56,636.44,9.44,645.88
5152-1,6/30/2013,Mitch Gastineau,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,3,Low,28,Small Box,Regular Air,7/4/2013,6.39,19.98,19,379.62,0.08,30.37,379.54,4,383.54
5154-1,7/2/2013,Stuart Calhoun,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,4,High,34,Small Pack,Express Air,7/3/2013,1.87,8.12,32,259.84,0.08,20.79,259.76,2.83,262.59
5156-1,7/3/2013,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,8,High,64,Small Box,Regular Air,7/5/2013,1.98,3.15,23,72.45,0.01,0.72,72.44,0.49,72.93
5158-1,7/3/2013,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,1,Not Specified,65,Small Box,Regular Air,7/5/2013,16.85,27.18,34,924.12,0.1,92.41,924.02,8.23,932.25
5159-1,7/4/2013,Sara Luxemburg,"180 High Street,Windsor",Melbourne,VIC,Small Business,8,Critical,57,Wrap Bag,Regular Air,7/5/2013,1.6,2.62,21,55.02,0.05,2.75,54.97,0.8,55.77
5160-1,7/5/2013,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,Not Specified,25,Medium Box,Regular Air,7/7/2013,8.82,20.99,41,860.59,0.02,17.21,860.57,4.81,865.38
5160-2,7/5/2013,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,Not Specified,58,Small Box,Express Air,7/7/2013,3.4,5.4,26,140.4,0.05,7.02,140.35,7.78,148.13
5163-1,7/6/2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,12,Medium,66,Small Box,Regular Air,7/6/2013,21.56,35.94,28,1006.32,0.01,10.06,1006.31,6.66,1012.97
5165-1,7/10/2013,Julie Kriz,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,12,Critical,67,Small Box,Regular Air,7/10/2013,2.74,4.49,11,49.39,0.08,3.95,49.31,1.49,50.8
5166-1,7/10/2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,8,Not Specified,68,Wrap Bag,Regular Air,7/13/2013,4.37,9.11,6,54.66,0.04,2.19,54.62,2.25,56.87
5168-1,7/15/2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,3,Critical,69,Wrap Bag,Regular Air,7/16/2013,3.88,6.47,20,129.4,0.02,2.59,129.38,1.22,130.6
5168-2,7/15/2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,3,Critical,70,Wrap Bag,Regular Air,7/17/2013,1.31,2.84,39,110.76,0.07,7.75,110.69,0.93,111.62
5171-1,7/16/2013,George Zrebassa,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,2,Critical,71,Wrap Bag,Regular Air,7/17/2013,0.24,1.26,10,12.6,0.1,1.26,12.5,0.7,13.2
5173-1,7/16/2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,8,High,56,Wrap Bag,Regular Air,7/16/2013,2.9,4.76,13,61.88,0.07,4.33,61.81,0.88,62.69
5174-1,7/17/2013,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,9,Low,35,Small Box,Express Air,7/17/2013,54.52,100.97,35,3533.95,0.05,176.7,3533.9,7.18,3541.08
5175-1,7/18/2013,Ben Wallace,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,9,Critical,16,Small Pack,Express Air,7/20/2013,3.42,8.34,15,125.1,0,0,125.1,2.64,127.74
5177-1,7/20/2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Small Business,8,Critical,11,Small Box,Express Air,7/22/2013,5.33,8.6,23,197.8,0.02,3.96,197.78,6.19,203.97
5178-1,7/21/2013,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,11,High,72,Jumbo Drum,Delivery Truck,7/23/2013,278.99,449.99,12,5399.88,0.06,323.99,5399.82,49,5448.82
5180-1,7/22/2013,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,12,High,62,Small Box,Express Air,7/23/2013,1.33,2.08,11,22.88,0.01,0.23,22.87,1.49,24.36
5181-1,7/22/2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,2,Low,73,Small Box,Regular Air,7/26/2013,6.51,30.98,29,898.42,0.03,26.95,898.39,6.5,904.89
5183-1,7/23/2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,9,Not Specified,61,Wrap Bag,Regular Air,7/25/2013,2.98,5.84,11,64.24,0.01,0.64,64.23,0.83,65.06
5185-1,7/24/2013,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Home Office,1,Critical,74,Small Box,Regular Air,7/26/2013,3.65,5.98,14,83.72,0.09,7.53,83.63,1.49,85.12
5186-1,7/26/2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,4,Low,75,Small Box,Regular Air,7/31/2013,4.46,10.89,37,402.93,0.06,24.18,402.87,4.5,407.37
5188-1,7/26/2013,Charles Sheldon,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,Low,73,Small Box,Regular Air,7/28/2013,6.51,30.98,8,247.84,0.01,2.48,247.83,6.5,254.33
5189-1,7/27/2013,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,9,Low,29,Small Box,Regular Air,7/29/2013,39.64,152.48,31,4726.88,0.07,330.88,4726.81,6.5,4733.31
5191-1,7/28/2013,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,1,Not Specified,76,Wrap Bag,Regular Air,7/30/2013,1.95,3.98,30,119.4,0.1,11.94,119.3,0.83,120.13
5193-1,7/29/2013,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,8,Not Specified,77,Small Box,Regular Air,7/30/2013,1.94,3.08,38,117.04,0.04,4.68,117,0.99,117.99
5194-1,7/30/2013,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Corporate,12,Not Specified,78,Jumbo Drum,Delivery Truck,7/31/2013,76.79,119.99,24,2879.76,0.02,57.6,2879.74,14,2893.74
5195-1,7/31/2013,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,13,Medium,79,Small Box,Regular Air,8/1/2013,1.84,2.88,11,31.68,0.09,2.85,31.59,1.49,33.08
5195-2,7/31/2013,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,13,Medium,28,Small Box,Regular Air,8/2/2013,6.39,19.98,43,859.14,0.1,85.91,859.04,4,863.04
5198-1,8/2/2013,Chuck Magee,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,7,Not Specified,80,Wrap Bag,Express Air,8/4/2013,1.53,2.78,40,111.2,0.03,3.34,111.17,1.34,112.51
5200-1,8/6/2013,Seth Vernon,"541 Church St,Richmond",Melbourne,VIC,Home Office,9,Critical,81,Small Box,Regular Air,8/8/2013,2.26,3.58,46,164.68,0.06,9.88,164.62,5.47,170.09
